clip_id,guard_status,stream_a_error,stream_b_error,divergence_score,adaptive_threshold,classification
0,PASS,0.001084393821656704,0.02192443609237671,0.06468891352415085,0.06468891352415085,HEALTHY
1,PASS,0.0010846530785784125,0.04272861406207085,0.12710118293762207,0.15830731391906738,HEALTHY
2,PASS,0.0010861431946977973,0.022496089339256287,0.0664021223783493,0.14411616325378418,HEALTHY
3,PASS,0.001092790043912828,0.03888382762670517,0.1155586913228035,0.14982907474040985,HEALTHY
4,PASS,0.0010943302186205983,0.020421810448169708,0.06017110124230385,0.14381295442581177,HEALTHY
5,PASS,0.0009811169002205133,0.03641248121857643,0.10825632512569427,0.1448272466659546,HEALTHY
6,PASS,0.0009820889681577682,0.019749538972973824,0.0582665279507637,0.14097896218299866,HEALTHY
7,PASS,0.0009854708332568407,0.03742638975381851,0.11129370331764221,0.1432914137840271,HEALTHY
8,PASS,0.000987016363069415,0.01907079853117466,0.056225381791591644,0.14052648842334747,HEALTHY
9,PASS,0.0008866353309713304,0.03616287186741829,0.10760198533535004,0.14159953594207764,HEALTHY
10,PASS,0.0008877885993570089,0.01885485276579857,0.055676769465208054,0.13934940099716187,HEALTHY
11,PASS,0.0009252618765458465,0.041963111609220505,0.12496407330036163,0.14492270350456238,HEALTHY
12,PASS,0.0009267755085602403,0.021132849156856537,0.062471769750118256,0.1423947513103485,HEALTHY
13,PASS,0.0009416127577424049,0.03994220867753029,0.11888501048088074,0.14526331424713135,HEALTHY
14,PASS,0.0009426088654436171,0.01892172358930111,0.05582256242632866,0.1435166746377945,HEALTHY
15,PASS,0.0008701524347998202,0.0378631092607975,0.11271917819976807,0.1448167860507965,HEALTHY
16,PASS,0.0008712282287888229,0.018856460228562355,0.055698152631521225,0.14326243102550507,HEALTHY
17,PASS,0.000920809106901288,0.03879401460289955,0.11546123027801514,0.14490041136741638,HEALTHY
18,PASS,0.0009222946828231215,0.019145863130688667,0.056515295058488846,0.14344070851802826,HEALTHY
19,PASS,0.000884287990629673,0.03949802368879318,0.11760978400707245,0.14523845911026,HEALTHY
20,PASS,0.0008855069172568619,0.018232449889183044,0.05381184071302414,0.14404870569705963,HEALTHY
21,PASS,0.0009885212639346719,0.046892695128917694,0.13968956470489502,0.14831510186195374,HEALTHY
22,PASS,0.0009901563171297312,0.021175913512706757,0.06253758072853088,0.1478697806596756,HEALTHY
23,PASS,0.0010570232989266515,0.04876752197742462,0.1452455371618271,0.15337279438972473,HEALTHY
24,PASS,0.001058621215634048,0.021787403151392937,0.06430359184741974,0.15185919404029846,HEALTHY
25,PASS,0.0010836191941052675,0.0505375973880291,0.1505291759967804,0.1574212610721588,HEALTHY
26,PASS,0.0010856140870600939,0.02425253950059414,0.07167200744152069,0.15587306022644043,HEALTHY
27,PASS,0.0011019761441275477,0.047505393624305725,0.14141421020030975,0.1592501997947693,HEALTHY
28,PASS,0.0011041169054806232,0.022679511457681656,0.06693442165851593,0.15785330533981323,HEALTHY
29,PASS,0.0010137170320376754,0.045139312744140625,0.13440421223640442,0.15997686982154846,HEALTHY
30,PASS,0.0010152412578463554,0.02242411859333515,0.06625711917877197,0.15868759155273438,HEALTHY
31,PASS,0.0010628273012116551,0.04610090330243111,0.13723987340927124,0.1609211564064026,HEALTHY
32,PASS,0.0010651557240635157,0.02182922139763832,0.06442251056432724,0.15974535048007965,HEALTHY
33,PASS,0.0010628877207636833,0.04539182037115097,0.13511256873607635,0.16155433654785156,HEALTHY
34,PASS,0.0010646791197359562,0.0211461391299963,0.06237373873591423,0.16049134731292725,HEALTHY
35,PASS,0.0011062155244871974,0.04841170832514763,0.1441289186477661,0.1630706489086151,HEALTHY
36,PASS,0.0011085853911936283,0.02392202988266945,0.07065750658512115,0.16192525625228882,HEALTHY
37,PASS,0.001111909281462431,0.044390711933374405,0.1320602297782898,0.16314907371997833,HEALTHY
38,PASS,0.001114176120609045,0.020494185388088226,0.060368381440639496,0.16224583983421326,HEALTHY
39,PASS,0.0010330253280699253,0.04173528403043747,0.12417282164096832,0.16281068325042725,HEALTHY
40,PASS,0.0010350296506658196,0.02094632387161255,0.061803944408893585,0.16192346811294556,HEALTHY
41,PASS,0.0010591123718768358,0.041787974536418915,0.12430481612682343,0.1624792218208313,HEALTHY
42,PASS,0.0010609655873849988,0.019572049379348755,0.05765518173575401,0.16173401474952698,HEALTHY
43,PASS,0.0010085251415148377,0.03981607407331467,0.1184396967291832,0.16192759573459625,HEALTHY
44,PASS,0.001009962405078113,0.019072193652391434,0.05620662122964859,0.16125227510929108,HEALTHY
45,PASS,0.0010467858519405127,0.04205060377717018,0.12510502338409424,0.16183939576148987,HEALTHY
46,PASS,0.0010485551320016384,0.01952420547604561,0.05752406269311905,0.16115660965442657,HEALTHY
47,PASS,0.00111048249527812,0.0433100089430809,0.128819540143013,0.16195306181907654,HEALTHY
48,PASS,0.0011121088173240423,0.019618788734078407,0.057744257152080536,0.1612900197505951,HEALTHY
49,PASS,0.0010587696451693773,0.04316724091768265,0.12844295799732208,0.1620294153690338,HEALTHY
50,PASS,0.0010602424154058099,0.020065704360604286,0.05913687124848366,0.16136163473129272,HEALTHY
51,PASS,0.0009552581468597054,0.03900556266307831,0.11606143414974213,0.16143369674682617,HEALTHY
52,PASS,0.0010609593009576201,0.028724471107125282,0.08511245250701904,0.16067028045654297,HEALTHY
53,PASS,0.0009203708614222705,0.03744187951087952,0.11140526831150055,0.15879835188388824,HEALTHY
54,PASS,0.001025132485665381,0.04356054589152336,0.12965650856494904,0.161283940076828,HEALTHY
55,PASS,0.0009555441793054342,0.042756058275699615,0.12731263041496277,0.1593334674835205,HEALTHY
56,PASS,0.0010995896300300956,0.05206089839339256,0.15508310496807098,0.16415496170520782,HEALTHY
57,PASS,0.0009722738759592175,0.0452321395277977,0.13472414016723633,0.1649763584136963,HEALTHY
58,PASS,0.0010258700931444764,0.047114163637161255,0.14031662046909332,0.1660616397857666,HEALTHY
59,PASS,0.0009571608970873058,0.04119131714105606,0.12261679023504257,0.16620945930480957,HEALTHY
60,PASS,0.0010414844145998359,0.0474621020257473,0.14134481549263,0.16725070774555206,HEALTHY
